seed,trial,original_action,q_margin,saliency_values,changed,faithful_top_salient,faithful_least_salient,faithful_random
1,78,3,0.004874229431152344,"[1.2201182842254639, 0.9517606496810913, 0.9144956469535828]","[True, False, True]",True,True,True
1,79,3,0.024596214294433594,"[1.2621335983276367, 0.9557741284370422, 0.9574019908905029]","[False, False, True]",False,False,False
1,80,3,1.6240148544311523,"[1.5648421049118042, 1.0859967470169067, 0.4857046604156494]","[False, False, True]",False,True,False
1,81,3,1.0781221389770508,"[1.1717995405197144, 1.192988395690918, 1.563602089881897]","[True, False, False]",False,True,False
1,82,0,0.49947357177734375,"[1.060762643814087, 0.9288937449455261, 1.2322990894317627]","[True, False, False]",False,False,False
1,83,0,1.277998924255371,"[1.128635048866272, 0.24830272793769836, 1.1383776664733887]","[False, False, False]",False,False,False
1,84,3,0.03526782989501953,"[1.3713715076446533, 0.8427048921585083, 0.9770125150680542]","[False, False, True]",False,False,False
1,85,0,0.17249107360839844,"[1.0215729475021362, 1.007874846458435, 0.9357616305351257]","[False, False, False]",False,False,False
1,86,0,2.045961380004883,"[0.9813262224197388, 0.556974470615387, 1.0690410137176514]","[False, False, True]",True,False,False
1,87,3,0.23122692108154297,"[1.2913721799850464, 1.1121094226837158, 0.9929136037826538]","[False, False, False]",False,False,False
1,88,3,0.03380298614501953,"[0.8352953791618347, 1.0431592464447021, 1.5671203136444092]","[False, True, False]",False,False,False
1,89,0,2.813551902770996,"[1.7870389223098755, 0.6175094842910767, 2.5064353942871094]","[False, True, False]",False,True,False
1,90,3,0.07663536071777344,"[1.479178786277771, 0.8829712271690369, 0.7434982657432556]","[False, False, False]",False,False,False
1,91,3,0.29169750213623047,"[1.2048848867416382, 1.0374301671981812, 1.0799453258514404]","[False, False, False]",False,False,False
1,92,0,0.11737823486328125,"[1.1049607992172241, 1.0749995708465576, 0.985095739364624]","[True, True, False]",True,False,True
1,93,3,1.2991085052490234,"[1.1339409351348877, 0.9935346841812134, 0.5955275893211365]","[False, False, True]",False,True,False
1,94,0,1.319814682006836,"[0.5949153900146484, 0.7803633809089661, 1.1539154052734375]","[False, False, False]",False,False,False
1,95,3,1.7597742080688477,"[0.8116771578788757, 0.6655885577201843, 0.604149580001831]","[True, False, False]",True,False,True
1,96,0,0.049015045166015625,"[1.1986823081970215, 0.86992347240448, 0.9765871167182922]","[True, False, False]",True,False,True
